pelagios_temp_id;maphist_label;recogito_mapping;recogito_gazetteer_label;lat;lng;recogito_status;modified_by;modified_at;
1-4;dumquergo / oquercas;http://www.wikidata.org/wiki/Q45797;DUINKERKE;51.0383;2.3775;VERIFIED;leif;2015-01-16T12:12:39+0100;
2-5;gravelinges;http://www.wikidata.org/wiki/Q323399;GRAVELINES;50.9858;2.1283;VERIFIED;leif;2015-01-16T12:12:18+0100;
3-6;CALES;http://www.wikidata.org/wiki/Q6454;CALAIS;50.9481;1.8564;VERIFIED;leif;2015-01-16T11:37:37+0100;
4-8;guissant;http://www.wikidata.org/wiki/Q316447;WISSANT;50.8861;1.6636;VERIFIED;leif;2015-01-16T12:11:49+0100;
5-9;bellogna;http://www.wikidata.org/wiki/Q875983;SAINT-MARTIN-BOULOGNE;50.7267;1.6328;VERIFIED;leif;2015-01-16T11:39:10+0100;
6-11;stapes / estailles / cleapes;http://www.wikidata.org/wiki/Q273522;ÉTAPLES;50.5186;1.6414;VERIFIED;leif;2015-01-16T11:39:31+0100;
7-12;somam;http://www.wikidata.org/wiki/Q37646;AFON SOMME;50.2211;1.5667;VERIFIED;leif;2015-01-16T11:43:07+0100;
8-13;vapan;http://www.wikidata.org/wiki/Q758882;SAINT-QUENTIN-EN-TOURMONT;50.2856;1.5903;VERIFIED;leif;2015-01-16T12:18:50+0100;
9-18;DIEPA;http://www.wikidata.org/wiki/Q183557;;49.9211;1.0853;VERIFIED;leif;2015-01-16T11:40:17+0100;
10-21;fecam / sto fam / steffim;http://www.wikidata.org/wiki/Q269732;FÉCAMP;49.75;0.3833;VERIFIED;leif;2015-01-16T11:40:46+0100;
11-23;c.de caus;http://www.wikidata.org/wiki/Q3378361;PHARE DE SAINT-VALERY-EN-CAUX;49.8736;0.7089;VERIFIED;leif;2015-01-16T12:13:57+0100;
12-25;ROAN;http://www.wikidata.org/wiki/Q3114753;PORT DE ROUEN;49.4439;1.1033;VERIFIED;leif;2015-01-16T12:01:45+0100;
13-27;PARIS;http://pleiades.stoa.org/places/109126;Lutetia;48.853;2.35;VERIFIED;leif;2015-01-16T11:45:10+0100;
14-27;loira;http://www.wikidata.org/wiki/Q474480;LOUVIERS;49.2469;1.1296;VERIFIED;leif;2015-01-16T12:18:25+0100;
15-28;chiribei / quiriborg;http://www.wikidata.org/wiki/Q475448;QUILLEBEUF-SUR-SEINE;49.4728;0.5269;VERIFIED;leif;2015-01-16T12:17:37+0100;
